url,cn_name,en_name,birth_date,height,country
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Joel Campbell+nan+178CM/q109.png,坎贝尔,Joel Campbell,,178CM,哥斯达黎加
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Yeltsin Tejeda Valverde+nan+175CM/q110.png,叶尔钦·特赫,Yeltsin Tejeda Valverde,,175CM,哥斯达黎加
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Cristian Gamboa+1989-10-24+175CM/q111.png,冈沃亚,Cristian Gamboa,1989-10-24,175CM,哥斯达黎加
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Oscar Duarte+nan+186CM/q112.png,奥斯卡·杜亚,Oscar Duarte,,186CM,哥斯达黎加
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Bryan Oviedo+1990-02-18+172CM/q113.png,奥维多,Bryan Oviedo,1990-02-18,172CM,哥斯达黎加
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Marijo Mandzukic+nan+190CM/q114.png,曼朱基奇,Marijo Mandzukic,,190CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Nikola Kalinic+1988-01-05+187CM/q115.png,卡利尼奇,Nikola Kalinic,1988-01-05,187CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Andrej Kramaric+1991-06-19+177CM/q116.png,克拉马里奇,Andrej Kramaric,1991-06-19,177CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Marko Pjaca+1995-05-06+186CM/q117.png,普亚卡,Marko Pjaca,1995-05-06,186CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Luka Modric+nan+174CM/q118.png,莫德里奇,Luka Modric,,174CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Ivan Rakitic+1988-03-10+184CM/q119.png,拉基蒂奇,Ivan Rakitic,1988-03-10,184CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Ivan Perisic+1989-02-02+187CM/q120.png,佩里西奇,Ivan Perisic,1989-02-02,187CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Milan Badelj+1989-02-25+186CM/q121.png,巴德利,Milan Badelj,1989-02-25,186CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Mateo Kovacic+1994-05-06+178CM/q122.png,科瓦契奇,Mateo Kovacic,1994-05-06,178CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Marcelo Brozovic+1992-11-16+181CM/q123.png,布罗佐维奇,Marcelo Brozovic,1992-11-16,181CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Marko Rog+1995-07-19+180CM/q124.png,罗格,Marko Rog,1995-07-19,180CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Vedran Corluka+1986-02-05+192CM/q125.png,乔尔卢卡,Vedran Corluka,1986-02-05,192CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Sime Vrsaljko+1992-01-10+181CM/q126.png,弗尔萨利科,Sime Vrsaljko,1992-01-10,181CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Darijo Srna+nan+178CM/q127.png,斯尔纳,Darijo Srna,,178CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Ivan Strinic+nan+186CM/q128.png,斯特里尼奇,Ivan Strinic,,186CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Gordon Schildenfeld+nan+191CM/q129.png,斯基尔登菲特,Gordon Schildenfeld,,191CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Tin Jedvaj+1995-11-28+184CM/q130.png,耶德瓦伊,Tin Jedvaj,1995-11-28,184CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Danijel Subasic+1984-10-27+191CM/q131.png,苏巴希奇,Danijel Subasic,1984-10-27,191CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Ivan Vargic+nan+192CM/q132.png,瓦尔吉奇,Ivan Vargic,,192CM,克罗地亚
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Antoine Griezmann+1991-03-21+175CM/q133.png,格列兹曼,Antoine Griezmann,1991-03-21,175CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Olivier Giroud+1986-09-30+192CM/q134.png,吉鲁,Olivier Giroud,1986-09-30,192CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Anthony Martial+1995-12-05+181CM/q135.png,马夏尔,Anthony Martial,1995-12-05,181CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/André-Pierre Gignac+nan+186CM/q136.png,吉尼亚克,André-Pierre Gignac,,186CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Dimitri Payet+nan+175CM/q137.png,帕耶,Dimitri Payet,,175CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Alexandre Lacazette+nan+175CM/q138.png,拉卡泽特,Alexandre Lacazette,,175CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Blaise Matuidi+1987-04-09+180CM/q139.png,马图伊迪,Blaise Matuidi,1987-04-09,180CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Paul Pogba+1993-03-15+191CM/q140.png,博格巴,Paul Pogba,1993-03-15,191CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Kingsley Coman+nan+178CM/q141.png,科曼,Kingsley Coman,,178CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Morgan Schneiderlin+nan+181CM/q142.png,施内德林,Morgan Schneiderlin,,181CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Moussa Sissoko+nan+187CM/q143.png,西索科,Moussa Sissoko,,187CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Yohan Cabaye+nan+174CM/q144.png,卡巴耶,Yohan Cabaye,,174CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Hatem Ben Arfa+nan+178CM/q145.png,本阿尔法,Hatem Ben Arfa,,178CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Ngolo Kante+nan+168CM/q146.png,坎特,Ngolo Kante,,168CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Bacary Sagna+nan+176CM/q147.png,萨尼亚,Bacary Sagna,,176CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Patrice Evra+nan+174CM/q148.png,埃弗拉,Patrice Evra,,174CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Adil Rami+nan+190CM/q149.png,拉米,Adil Rami,,190CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Laurent Koscielny+1985-09-10+186CM/q150.png,科斯切尔尼,Laurent Koscielny,1985-09-10,186CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Lucas Digne+1993-07-20+178CM/q151.png,迪涅,Lucas Digne,1993-07-20,178CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Eliaquim Mangala+nan+188CM/q152.png,曼加拉,Eliaquim Mangala,,188CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Christophe Jallet+nan+178CM/q153.png,贾莱特,Christophe Jallet,,178CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Samuel Umtiti+1993-11-14+182CM/q154.png,乌姆蒂蒂,Samuel Umtiti,1993-11-14,182CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Hugo Lloris+1986-12-26+188CM/q155.png,洛里斯,Hugo Lloris,1986-12-26,188CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Steve Mandanda+1985-03-28+185CM/q156.png,曼丹达,Steve Mandanda,1985-03-28,185CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Benoit Costil+nan+188CM/q157.png,科斯蒂尔,Benoit Costil,,188CM,法国
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Lionel Messi+1987-06-24+170CM/q158.png,梅西,Lionel Messi,1987-06-24,170CM,阿根廷
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Sergio Agüero+1988-06-02+173CM/q159.png,阿圭罗,Sergio Agüero,1988-06-02,173CM,阿根廷
